1|32|Larwence.Mongenet@prc.com|29|Sany.Steckler@temple.edu|8
2|29|Yokomori.Redmond@itc.it|38|Joacheim.Morihara@crossgain.com|5
3|5|Jamaludin.Ashtaputre@ucdavis.edu|40|Karin.Angluin@llnl.gov|24
4|43|F|31|Blagoja.Krolokowski@usa.net|48
5|10|Kwangsub.Wilharm@wpi.edu|2|Venu.Mavaddat@concordia.ca|10
6|31|Vidyadhar.Blumrich@dauphine.fr|1|Malur.Krueger@wisc.edu|21
7|4|Ozgur.Hinnebusch@uni-freiburg.de|26|Gordan.Boughanem@msstate.edu|15
8|2|Eenjan.Pikalev@auc.dk|4|Habib.Fidelak@auc.dk|28
9|18|Dorrit.McJones@ucf.edu|28|Bede.Giroux@lr|37
10|9|Katashi.Terrat@uiuc.edu|39|Heesung.Sw|5
