1|10|32|Halit.Grignetti@auth.gr|Girija.Aingworth@pitt.edu|Eenjun.Harangsri@gte.com
2|28|1|Yamine.Auinger@hp.com|Honghua.Petry@ucdavis.edu|Sueli.Q
3|13|4|Mattijs.Lyle@llnl.gov|Dinah.Abayan@mit.edu|Esma.Pavlotskaya@bell-labs.com
4|4|16|Norton.Suchak@emc.com|Kazimir.Chi|Rayond.Bicarregui@duke.e
5|47|20|Ramachendra.Milde@ac.|Motoei.Potorti@umass.edu|Wenju.Zisapel@ucr.edu
6|46|35|Allen.Obermaier@ernet.in|Girolamo.Luther@yorku.ca|Honesty.Munster@cti.gr
7|6|7|Phillip.Ang@filelmaker.com|Nami.Angele@njit.edu|Carlisle.Heppler@pi.it
8|12|3|Qui.Weibel@auth.gr|Massimo.Clarysse@ac.be|Sadamu.Schmiedel@brown.edu
9|8|46|Loretta.Eid@inria.f|Demosthenis.Wessel@okcu.edu|Pat.Baum@cwru.edu
10|37|20|Jinzhao.Lorin@purdue.edu|M|Pinaki.Raghavendran@fsu.edu
