1|Spencer.Imbert@|39|Jois.Ballin@purdue.edu|Chengzhong.Kailath@rpi.edu|3
2|Prithviraj.Chenney@uic.edu|0|Yosi.Littlewood@|Guadalupe.Rowland@llnl.gov|46
3|Viera.Forgie@filemaker.com|18|Azer.Brennan@umass.edu|Iraj.Torlone@co.jp|42
4|Patti.Cramer@cwi.nl|8|Goang.Raither@ucsd.edu|Ewart.Zdybel@hitachi.com|10
5|Yuk.Noortwijk@computer.org|30|Aleksy.Feigelson@washington.edu|Abderrahmane.Validov@unf.edu|17
6|Paulina.Torasso@unl.edu|17|Shelton.Ranze@smu.edu|Shaowei.Ponthieu@ac|47
7|Rainer.Plutat@sun.com|32|DooHyun.Escriba@att.com|Namio.Balaguer@purdue.edu|32
8|Derek.Mints@rutgers.edu|28|Roseanne.Dodenhoft@uni-muenster.de|Taizo.Meeson@sunysb.edu|40
9|Kirsty.Bretthauer@uni-freiburg.de|26|Manoj.Aps|Olle.Range@|25
10|Elad.Faletti@ncr.com|8|Armond.Hawryszkiewycz@forwiss.de|Neel.Uckan@nwu.edu|31
