1|Cees.Wrzyszcz@unl.edu|Zhe.Braden@stanford.edu|31|19|9
2|Su|Zissis.Linares@fernuni-hagen.de|41|3|37
3|Zongming.Moltedo@uta.edu|Kirsty.Peckham@verity.com|41|35|2
4|Fulvio.Basnet@cwru.edu|Emilio.Rullman@panasonic.com|34|12|10
5|Cuie.Tuecke@ncr.com|Aline.Abello@prc.com|22|4|39
6|Timofei.Dave@broadquest.com|Marlene.Quimby@unf.edu|40|45|3
7|Emmanuel.Brinkschulte@ust.hk|Ejan.Sufrin@ernet.in|24|32|2
8|Reino.Fadgyas@edu.au|Phobe.Laohapipattana@earthli|21|12|41
9|Ivailo.A|Yin|20|14|41
10|Hongwe|Florimond.Tokunaga@lbl|35|25|22
