1|Roopa.Tokar@versata.com|Hayato.Lewandowski@yorku.ca|28|32|36
2|Lourdes.Mukaidono@rutgers.edu|Christo.Mandoiu@memphis.edu|1|15|41
3|Kellyn.Cooperman@uqam.ca|Chengwen.Hamalainen@yorku.ca|34|21|18
4|Murlikrishna.Speel@whizbang.com|Yeogirl.Ratz@ac.be|22|24|49
5|Conal.Bach@gmu.e|Ridha.Corvi@auc.dk|30|36|0
6|Masaski.Anjan@indiana.edu|Hongzhu.I|28|7|14
7|Tamara.Rahmeh@informix.com|Benno.Ayani@ucdavis.edu|27|21|47
8|Richardo.Marotta@dec.com|Rica|15|0|42
9|Klas.Whitcomb@zambeel.com|Praful.Sacone@columbia|35|27|3
10|Bal|Tateaki.Boec|6|49|29
