1|34|Aashu.Tsiknakis@unl.edu|Teresemarie.Telichevesky@verity.com|Idranil.Heckendorn@newpaltz.edu|39
2|33|Waleed.Letelier@whizban|Jungyun.Heckerman@sun.com|Junsheng.Derks@concentric.net|32
3|41|Jovisa.Vaananen@ubs.com|Omer.Lutzeler@umb.edu|KayLiang.Bergamini@uni-trier.de|9
4|35|Liu|Tokuyasu.Prieto@ucd.ie|Manu.Varsek@unizh.ch|14
5|12|Jack.Schicker@uni-mb.si|Hendry.Goullioud@rpi.edu|Seongsoo.Kogut@cohera.com|47
6|35|Josette.Ledeniov@intersys.com|Tapani.Rabagliati@att.com|Rene.Bert@oracle.com|3
7|39|Wubin.Grapa@zambeel.com|Srikant.Bennis@prc.com|Corneliu.Nogi|46
8|16|Ar|Giang.|Geunbae.D'Aloisi@clustra.com|8
9|9|Masayo.Schupeta@sdsc.edu|Jovanna.Amalou@gte.|Venky.Rotics@uni-muenchen.de|48
10|44|Colleen.Himler@uni-mannheim.de|Ngoc.Yanagida@uic.edu|Nicholas.Corliss@okcu.edu|4
