1|Slawomir.Prieto@edu.au|11|21|13|Irmtraut.Nations@umkc.edu
2|Yashodara.Bing@airmail.net|26|42|37|Friedrich.Hjaresen@pitt.edu
3|Sujay.Polajnar@uni-man|43|18|38|Jingyuan.Hasker@ou.edu
4|Jaak.Sipusik@cornell.edu|10|8|41|Raffaele.Redon@edu.au
5|Jeroen.Protzel@tue|13|33|20|Val.Pettit@telcordia.com
6|Cohavit.Swist@cabofalso.com|44|34|17|Petru.Heikes@ucr.edu
7|Qamar.Karp@uni-marburg.de|7|28|9|Yutai.Gheorghiu@purdue.edu
8|Masahiko.Weatherford@purdue.edu|24|7|3|Aspassia.Braccini@uni-muenchen.de
9|Shozo.Hardavellas@ul.pt|10|41|17|Haruaki.Corso@utexas.edu
10|Honghui.Kupsch@ac.kr|43|31|30|Minkoo.Maliniak@bellatlantic.net
