1|17|12|Tunu.Suessmith@co.in|15|Cecilia.Adorni@uni-sb.de
2|11|22|Shuichi.|8|Hubertus.Rosch@pitt.edu
3|48|39|Byoung.Adamczyk@baylor.edu|13|Bertha.Sandin@ac.kr
4|47|46|Lanfranco.Nozawa@msn.com|17|Ursel.Prampolin
5|10|11|Tingfang.Haskins@cas.cz|17|Fenia.Spell@ac.be
6|0|46|Yehud|14|Esther.Pinchon@cti.gr
7|24|10|Hideomi.Beetem@bell-labs.com|39|Mingshien.Robertson@msn.com
8|41|20|Noushin.Klawonn@uni-mannheim.de|16|Gh
9|31|46|Sadakazu.Tash@nyu.edu|1|Gady.Stepoway@dauphin
10|18|1|Bommadevara.Musliner@savera.com|27|Mitsuteru.Scanlon@itc.it
