1|16|Brian.Forouraghi@ucr.edu|10|Kenshin.Sezak@brown.edu|33
2|17|Sudhanshu.Dietl@uwindsor.ca|6|Yongqiao.Rosenbaum@hp.com|32
3|7|Hwang.Cater@wpi.edu|22|Thompson.Pettis@ac.uk|18
4|4|Abimbola.Antonacci@cmu.edu|2|Noam.Pileggi@smu.edu|0
5|27|Yadong.Quimby@cnr.it|48|Aya.Kauffman@unical.it|43
6|34|Karthik.Bolshov@ufl.edu|45|Gyu.Gurk@earthlink.net|17
7|35|Yukinori.Kans@uni-mb.si|4|Wenyi.Cha|49
8|0|Jaume.Prodiner@filemaker.com|16|Brad.Habib@oracle.com|42
9|21|Changjie.Goodwin@unl.edu|38|Shiby.Knecht@indiana.edu|0
10|2|Nave|29|Noburu.Farag@|1
