1|Zh|32|29|24|Wujia.Bhagavathi@ab.ca
2|A|24|44|26|Kothuri.Shreve@versata.com
3|Wiebke.Lundstrom@hp.com|33|30|9|Iqbal.Wo
4|Brij.Tharp@gmu.edu|39|2|6|Dentcho.Montresor@unical.it
5|Liem.Synnes@uni-marburg.de|41|23|17|Cherif.Litvinov@informix.com
6|Sorel.Matthys@ask.co|28|22|38|Li
7|Jolita.Gerling@rwth-aachen.de|30|41|2|Sanford.Ishizuka@uregina.ca
8|Tinne.Hagerman@ogi.edu|25|26|35|Ragnuthan.Rohfleisch@clustra.com
9|Jarle.Vongsathorn@mss|32|34|21|Ragui.Nandavar@uni-mannheim.de
10|Ortrun.Takagi@ac.be|44|17|39|Akis.Gabrielide
