1|25|34|Nidapan.Boissier@stanford.edu|Rogelio.Getta@hitachi.com|33
2|27|40|Chutimet.Berbec@uwaterloo.ca|Pertti.Babad@filemaker.com|8
3|22|21|Hirokazu.Staples@duke.edu|Yonathan.Newberg@prc.com|47
4|2|45|Torsten.Joichi@uregina.ca|Yuzuru.Drenick@usa.net|22
5|21|27|Nalini.Hobbs@uni-freiburg.de|Marla.Stalnaker@ac.at|6
6|30|44|Isaac.Sooriamurthi@utexas.edu|Peretz.Barvinok@forth.gr|25
7|7|10|Masamichi.Skamoto@savera.com|Tapio.Pinon@nodak.edu|15
8|28|3|Kanna.Lisonek@umass.edu|Aivar.Matsubara@sleepycat.com|6
9|23|41|Xiaohui.Rael@cas.cz|Sahrah.Bruni@uni-trier.de|21
10|48|1|Judea.Streicher@pi.it|Alice.Ehrenberger@uwo.ca|1
