1|Shantanu.Ruget@clarkson.edu|Poornachandra.Cridlig@uta.edu|5|34|Lhouari.Hardjono@dec.com
2|Andee.Furudate@fernuni-hagen.de|Soma.Bolsens@umass.edu|12|44|Zhonghui.Benhamou@arizona.edu
3|Setrag.Flessner@concordia.ca|Moty.Kodialam@inria.fr|32|45|Amund.Lanza@ernet.in
4|Stelios.Osteen@edu.cn|Jaehyung.Gahlot@computer.org|49|19|Joonoo.Perring@umb.edu
5|Cemal.Bannelier@uiuc.edu|Wa|37|13|Fehmina.Beus@broadquest.com
6|Babubhai.Noack|Zhexue.Surdo@nyu.edu|13|12|Devin.Zabe
7|Fatimah.Gebele@rpi.edu|Jaana.Ebeling@itc.it|10|29|Chatschik.Babai@itc.it
8|Branimir.Rengarajan@ufl.edu|Euji.Bergeron@versata.com|39|16|Robert.Eco@pitt.edu
9|Shantanu.Tredennick@cwi.nl|Ludwik.Tobin@ucdavis.edu|48|17|Masooma.Wattum@ucsd.edu
10|Felix.Pierre@propel.com|Jongsuk.Olariu@ask.com|39|3|Felix.Janetzko@bell-labs.com
