1|39|Rimli.Zobel@cwi.nl|Normand.Viragh@prc.com|45|Kapetanakis.Sueyoshi@hitachi.com
2|38|Gautam.Spauster@upenn.edu|Gao.Verhaegh@ogi.edu|27|Tian.Curthoys@monmouth.edu
3|42|Ratan.Keir@pitt.edu|Aloysius.Dervin@neu.edu|48|Yanxi.Selvestrel@lehner.net
4|0|Sumitra.Oliva@sds.no|Shridhar.Nute@ou.edu|48|Adnan.Tohme@ualberta.ca
5|24|Vale|Toshiharu.Abe@edu.hk|15|Kris.C
6|26|Levan.Coors@gmu.ed|Ono.Nudd@edu.hk|2|Jonna.Mackey@cti.gr
7|49|Khakhanian.Guttman@labs.com|Neli.Kandlur@ufl.edu|38|Mandana.Berc@ucsd.edu
8|28|Ashutosh.Dubinsky@uni-mannheim.de|Zenping.Petrovic@uni-trier.de|18|Yongwon.With@labs.com
9|47|Lakhdar.Fri|Dursun.Buc|16|Won
10|13|Livio.Desnoyer@purdue.edu|Elisabetta.Larfeldt@hp.com|41|Rav
