1|26|Rimli.Hofmeyr@uu.se|4|5|Kellyn.Bernardinello@toronto.edu
2|49|Samson.Manolakos@ucdav|40|29|Yuchen.Babin@wpi.edu
3|47|Seiji.Mille@monmouth.edu|10|31|Atam.Papasta
4|36|Felix.Holtman@ucd.ie|5|32|Bian.Ireland@lante.com
5|4|Lishing.Abbasi@dec.com|37|10|Huasheng.Stumptner@filemaker.com
6|44|Sergey.Khedri@uwo.ca|18|26|Takaaki.Nassar@sa
7|31|Murari.Mookken@ou.edu|39|48|Gul
8|19|Hisako.Narahara@versata.com|10|6|Lampros.Coors@
9|32|Berna.Naccarato@solidtech.com|6|12|Deoraj.Burnard@ucsb.edu
10|30|Adriano.Leemis@pitt.edu|4|20|Ari.Re
