1|Shinkuro.Weinberg|42|Sheelagh.Lauterbach@pitt.edu|11|43
2|Teodor.Mistrik@itc.it|49|Lip.Poutre@ac.at|34|14
3|Heino.Eastaughffe@smu.edu|21|Joachim.Warwick@uiuc.edu|38|49
4|Stein.Naixiao@cmu.edu|9|Shujian.|1|48
5|Margie.Dumas@ncr.com|32|Rachael.Kalb@ucf.edu|32|16
6|Kazuhiko.Wunderlin@|20|Shona.Bateman@purdue.edu|38|28
7|Beatrix.Hibbard@lri.fr|4|Bishwaroop.Aigrain@sybase.com|42|18
8|Cenk.Rauf@uni-mannheim.de|33|Mie.Camarinopoulos@ucsb.edu|15|0
9|Shiro.Giguere@panasonic.com|8|Vishesh.Khamsi@ou.edu|5|12
10|Amit.Kuiper@rwth-aachen.de|44|Remi.Olivi@unf.edu|2|2
