1|31|Malcolm.Yurov@edu.au|37|Siri.Kaushik|45
2|25|Alexei.Remy@ac.be|32|Tomlinson.Jungst@clustra.com|8
3|0|Bram.Liberman@compaq.com|41|Hovav.Whitelock@uni-muenster.de|11
4|18|Piyush.Dawood@computer.org|32|Sei'ichi.Belanger@ucsb.edu|7
5|33|Monagur.Capalbo@inria.fr|12|Rommert.Gerth@cwru.edu|36
6|15|Tommaso.Althammer@|14|Khaled.Bernatsky@neu.edu|32
7|49|Assia.Habermann@ucsd.edu|49|Bapiraju.Recio@lbl.gov|4
8|26|Eser.Cavendish@rice.edu|31|Ranan.Atluri@mitre.org|0
9|17|Anja.Turnbull@sybase.co|1|Hakgene.Raschid@wisc.edu|0
10|5|Siddharth.Vinar@c|16|Mikiko.Fasbender@ntua.gr|10
