1|Galeno.Bolliger@ibm|35|Rivka.Jeron@gmu.edu|Bern.Schwandt@umd.edu|25
2|Taenam.An|45|Binay.Chubb@sds.no|Mir|43
3|Yale.Braberman@duke.edu|9|Evgueni.Pepe@umass.edu|Neda.Koutny@sdsc.edu|44
4|Xinglin.Marsala@ac.at|33|Youichi.Olken@fernuni-hagen.de|Chutimet.Bruza@umkc.ed|47
5|Andy.Laakso@umd.edu|2|Noritoshi.Stellhorn@crossgain.|Sugih.Lebah@ogi.edu|18
6|Kripasindhu.Kirkham@lucent.com|49|Mikiko.Hennebert@csufresno.edu|Singaravel.Witt|13
7|Manhoi.Schaedler@monmouth.edu|37|Wallapak.Ropelewski@lri.fr|Niladri.Chaudhury@ualberta.ca|34
8|Pai.Murrill@unf.edu|31|Alejandro.Berc@ask.com|Shashin.Picci@indiana.edu|42
9|Assar.Simec@pitt|2|Meltem.Neighbors@uu.se|Dexter.Scherr@zambeel.com|4
10|Daishi.Getov@cohera.com|11|Daya.Zuzuki@lante.com|Ilia.Hochsprung@pi.it|10
