1|28|19|7|Hugo.Isshiki@upenn.edu|Pat.Baum@cwru.edu
2|42|24|30|Sumeet.Popp@uni-sb.de|Carlisle.Heppler@pi.it
3|20|21|17|Lambert.Fitschen@uta.edu|Sueli.Q
4|5|44|44|Philippas.Pinches@concordia.ca|Sadamu.Schmiedel@brown.edu
5|15|38|8|Kenneth.Frisby@conclusivestrategies.com|Honesty.Munster@cti.gr
6|48|9|21|Tibor.Elwell@nyu.edu|Esma.Pavlotskaya@bell-labs.com
7|2|49|39|Toshihide.Diaconis@unical.it|Eenjun.Harangsri@gte.com
8|16|36|6|Keijo.Banagl@uwo.ca|Wenju.Zisapel@ucr.edu
9|2|23|40|Harvey.Truscott@lante.com|Rayond.Bicarregui@duke.e
10|45|15|38|Clit.Justus@du.edu|Pinaki.Raghavendran@fsu.edu
