1|48|31|Changwook.Comellas@ucd.ie|Ro|40
2|19|0|Ja|Davi.Bitan@lbl.go|30
3|24|34|Fan.Formenti@du.edu|Shyamsundar.Nerima@ac.at|21
4|22|13|Gunhild.Sherman@itc.it|Sundaresan.Vershinin@ask.com|3
5|47|17|Jihong.Spray@unizh.ch|Jinya.Get|25
6|43|34|Sanguthevar.Melkebeek@rpi.edu|Yinfeng.Ikehara@acm.org|49
7|16|26|Gillermo.Speer@stanford.edu|Hansjurgen.Mikou@w|13
8|49|10|Antione.Pozo@filelmaker.com|Yigit.Uejio@wisc.edu|39
9|48|12|Seshu.Maarek@compaq.com|Elgin.Milgrom@filem|45
10|48|45|Topher.Kuchlein@auth.gr|Amnon.Osmon@sleepycat.com|23
