1|Mordechay.Warnock@propel.com|20|19|Terumasa.Skaar@concentric.net|Hirofumi.Berendt@uregina.ca
2|Uros.Priami@indiana.edu|8|47|Anish.Meter@ernet.in|Mahir.Meuter@concentric.net
3|Helder.Flatley@computer.org|40|25|Agata.Rane@broadquest.com|Sigal.Murao@sfu.ca
4|Udai.Baskin@savera.com|18|8|Stewart.Meuss@ab.ca|Paolo.Czezowski@att.com
5|Tinku.Mikulecky@ucf.edu|9|40|Sadok.Siddall@edu.sg|Ryoichi.Sherwood@rpi.edu
6|Sonata.Cremilleux@uwaterloo.ca|27|12|Piercarlo.Corso@computer.org|Nelleke.Kreuer@clarkson.edu
7|Karlhorst.Juric@filemaker.com|44|32|Randi.Tani@ac.jp|Tzu.Lattin@broa
8|Raul.Simoni@yorku.ca|32|29|Lim.K|Jayakrishnan.Crouch@uni-muenster.de
9|Egil.Tillert@uregina.ca|39|34|Kazumaro.Peschl@usa.net|Sabyasachi.Pedrycz@zambeel.com
10|Nipun.Schuster@gmu.edu|34|15|Iara.Slimani@ibm.|Siri.Hepplewhite@edu.sg
